wikidata_qid,imdb_id,tmdb_type,tmdb_id,trakt_type,trakt_id,plex_type,plex_id,appletv_id,rottentomatoes_id,title,year,director,duration,tomatometer
Q24953,tt0079470,movie,583,movie,462,movie,5d776827880197001ec90907,umc.cmc.3gr8pnn3t310ng2zjr9gr79ni,m/monty_pythons_life_of_brian,"Monty Python’s Life of Brian",1979,"Terry Jones",94,95
Q25043,tt0071853,movie,762,movie,605,movie,5d7768282ec6b5001f6ba4d7,umc.cmc.5re6h6rrzwtaub8i4bc3udwm6,m/monty_python_and_the_holy_grail,"Monty Python and the Holy Grail",1975,,91,97
Q25057,tt0088846,movie,68,movie,39,movie,5d776d16fb0d55001f5972d0,umc.cmc.25tn9231aa7mzrvk4y5ssijqj,m/1003033-brazil,Brazil,1985,"Terry Gilliam",142,98
Q25139,tt0169547,movie,14,movie,10,movie,5d77682461141d001fb13340,umc.cmc.16daqxpennfm6jm9nkrmtscp,m/american_beauty,"American Beauty",1999,"Sam Mendes",121,87
Q25182,tt1235099,tv,8358,show,8312,show,5d9c07f62192ba001f3036b4,umc.cmc.4d21df8rd05b1bi9ir6s6ddyu,tv/lie-to-me,"Lie to Me",,,42,89
Q25188,tt1375666,movie,27205,movie,16662,movie,5d77685333f255001e852e11,umc.cmc.6loas01ow0w4lkatxxloz7a6e,m/inception,Inception,2010,"Christopher Nolan",148,87
Q26060,tt0046438,movie,18148,movie,11093,movie,5d776842103a2d001f56ace9,umc.cmc.2uou0pg9gyn4tc895xtxwpmxs,m/tokyo_story,"Tokyo Story",1953,"Yasujirō Ozu",136,100
Q26265,tt0104009,movie,14239,movie,8539,movie,5d9f35129dd5f4001e843786,umc.cmc.3me973dyx1ugm73e035xm8ec,m/1040378-cool_world,"Cool World",1992,"Ralph Bakshi",97,4
Q26751,tt1182345,movie,17431,movie,10655,movie,5d7768402ec6b5001f6bdd2b,umc.cmc.kn4jms59nt6y439vqjwgom31,m/moon,Moon,2009,"Duncan Jones",96,90
Q26970,tt0206314,movie,10866,movie,6023,movie,5d776d16594b2b001e701174,umc.cmc.6u582m7nzjx67tjbbc3cxlqsp,m/joy_ride,"Joy Ride",2001,"John Dahl",97,74
Q27204,tt0070328,movie,253,movie,211,movie,5d7768242e80df001ebdcc26,umc.cmc.6byey0bb0dmdm4l418q49vi87,m/live_and_let_die,"Live and Let Die",1973,"Guy Hamilton",121,65
Q27411,tt0117571,movie,4232,movie,2481,movie,5d77682d54f42c001f8c3575,umc.cmc.3lqkarljab5l2z8ifgezgqjvg,m/1074316-scream,Scream,1996,"Wes Craven",111,79
Q27751,tt1321870,movie,82682,movie,61856,movie,5d7768c90ea56a001e2aa307,umc.cmc.5aa6djbz81wqdyue85u8lgmz0,m/gangster_squad_2012,"Gangster Squad",2013,"Ruben Fleischer",113,31
Q28193,tt0402399,movie,11400,movie,6496,movie,5d7768368a7581001f12d913,umc.cmc.6m2gcb5rryhdtk2ggitt6su1c,m/1152954-new_world,"The New World",2005,"Terrence Malick",131,63
Q28196,tt0816711,movie,72190,movie,53002,movie,5d7768b31999bc0020dce522,umc.cmc.3b34fljrenragz6yy22lpsn3j,m/world-war-z,"World War Z",2013,"Marc Forster",116,66
Q28234,tt1707386,movie,82695,movie,61868,movie,5d7768c90ea56a001e2aa31c,umc.cmc.74wk121u9bd0acbgzlr4o8rpq,m/les_miserables_2012,"Les Misérables",2012,"Tom Hooper",158,70
Q28776,tt0264395,movie,10782,movie,5943,movie,5d776836e6d55c002040d570,umc.cmc.280a2vvzmdukrjhnnoj9o1839,m/basic,Basic,2003,"John McTiernan",98,21
Q28936,tt1371111,movie,83542,movie,62551,movie,5d7768ccfb0d55001f519e19,umc.cmc.349jjuipuk2cpfku2vgev60br,m/cloud_atlas_2012,"Cloud Atlas",2012,,172,66
Q29011,tt0347149,movie,4935,movie,2870,movie,5d77682e6f4521001ea9abd0,umc.cmc.5iztg97thy2l82qn0euzqjjza,m/howls_moving_castle,"Howl's Moving Castle",2004,"Hayao Miyazaki",119,87
Q30931,tt0246460,movie,36669,movie,23309,movie,5d7768680ab244002006d25a,umc.cmc.6wmr43a51m8r8mcvxze8oie6h,m/die_another_day,"Die Another Day",2002,"Lee Tamahori",133,56
Q30937,tt0120910,movie,49948,movie,34864,movie,5d77688a7e5fa10020bf1921,umc.cmc.5sko64rvokwiyqh1ih44me1ce,m/fantasia_2000,"Fantasia 2000",1999,,75,81
Q31791,tt1172991,movie,44129,movie,29863,movie,5d77687d374a5b001fec717d,umc.cmc.5vo5985r753vaau3pqcl14vyq,m/the-company-men,"The Company Men",2010,"John Wells",109,67
Q32303,tt2106476,movie,103663,movie,73983,movie,5d776911594b2b001e69c2f3,umc.cmc.46ha0yistrl29rowoi94t26qq,m/the_hunt_2013,"The Hunt",2012,"Thomas Vinterberg",111,93
Q32433,tt0443272,movie,72976,movie,53638,movie,5d7768b50ab2440020071f0b,umc.cmc.2y2l2hb8ec0t3byecg3ez7l2y,m/lincoln_2011,Lincoln,2012,"Steven Spielberg",150,89
Q32910,tt0421054,movie,9923,movie,5157,movie,5d7768345af944001f1f98a4,umc.cmc.6mgi7p6ei4ceuiv9zakb593c,m/domino,Domino,2005,"Tony Scott",122,18
Q33162,tt1628033,tv,45,show,45,show,5d9c07fd02391c001f57e02f,umc.cmc.1qosthg7myjq1n418pmxs1wtn,tv/top-gear,"Top Gear",,,,
Q33191,tt1716777,movie,98548,movie,71364,movie,5d77690223d5a3001f4f47df,umc.cmc.16oq2600949757xlnk3ab6bpf,m/people_like_us_2012,"People Like Us",2012,"Alex Kurtzman",115,53
Q34414,tt0047396,movie,567,movie,447,movie,5d776826151a60001f24a9c8,umc.cmc.21nhg3tvk93lhjp2h9507twn7,m/1017289-rear_window,"Rear Window",1954,"Alfred Hitchcock",112,98
Q35791,tt0159206,tv,105,show,104,show,5d9c07ffe98e47001eb04d6f,umc.cmc.2x53eql83rmylrvmdtz8c3ym,tv/sex_and_the_city,"Sex and the City",,,30,
Q36479,tt0110357,movie,8587,movie,4242,movie,5d776832a091de001f2e780f,umc.cmc.hzw12vgjjoz0tf0jn5m0x8i4,m/the_lion_king,"The Lion King",1994,,88,93
Q37785,tt0070016,movie,15171,movie,9213,movie,5d9f35209dd5f4001e843991,umc.cmc.wt0ormc49xbff1q7qr0p43fs,m/1003952-charlottes_web,"Charlotte's Web",1973,,94,77
Q39571,tt0096283,movie,8392,movie,4169,movie,5d7768328a7581001f12d0df,umc.cmc.4j11jg8g8n6tei5d7cupfy40k,m/my_neighbor_totoro,"My Neighbor Totoro",1987,"Hayao Miyazaki",86,94
